id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
125803,Male,28,1,46.0,1,< 1 Year,No,36005.0,152.0,194,0
90488,Female,38,1,28.0,0,1-2 Year,Yes,29394.0,124.0,248,1
151855,Male,51,1,28.0,1,1-2 Year,No,44653.0,26.0,175,0
212551,Female,25,1,41.0,0,< 1 Year,No,28143.0,152.0,99,0
142498,Male,21,1,15.0,1,< 1 Year,No,26857.0,160.0,148,0
333648,Female,24,1,29.0,1,< 1 Year,No,29007.0,152.0,232,0
377236,Male,53,1,28.0,0,1-2 Year,Yes,25992.0,26.0,17,0
179746,Female,23,1,47.0,0,< 1 Year,Yes,27847.0,152.0,106,0
350809,Male,27,1,8.0,1,< 1 Year,No,41865.0,152.0,160,0
69598,Male,29,1,10.0,1,< 1 Year,No,20217.0,152.0,140,0
61363,Male,61,1,28.0,0,1-2 Year,Yes,41483.0,26.0,114,0
120043,Female,23,1,36.0,1,< 1 Year,No,34462.0,152.0,273,0
85169,Female,24,1,8.0,1,< 1 Year,No,60998.0,152.0,248,0
331634,Female,70,1,28.0,1,1-2 Year,No,35025.0,25.0,123,0
220717,Male,49,1,47.0,0,1-2 Year,No,33300.0,16.0,108,0
106906,Male,67,1,11.0,1,1-2 Year,No,38697.0,124.0,279,0
152607,Female,23,1,46.0,1,< 1 Year,No,23960.0,26.0,195,0
46763,Male,31,1,29.0,0,1-2 Year,Yes,44178.0,163.0,213,1
91048,Female,36,1,28.0,0,1-2 Year,Yes,32887.0,13.0,144,1
155596,Female,54,1,46.0,0,> 2 Years,Yes,2630.0,26.0,289,1
242160,Male,24,1,50.0,1,< 1 Year,No,53866.0,152.0,63,0
193905,Female,60,1,28.0,0,1-2 Year,Yes,57834.0,124.0,75,0
215629,Male,64,1,50.0,1,1-2 Year,No,34530.0,8.0,58,0
60164,Female,39,1,18.0,1,1-2 Year,Yes,26376.0,124.0,209,0
71890,Male,34,1,0.0,0,1-2 Year,Yes,2630.0,124.0,133,0
322242,Female,33,1,15.0,0,< 1 Year,Yes,33735.0,124.0,210,0
196800,Female,25,1,8.0,1,< 1 Year,No,33443.0,152.0,36,0
381077,Female,28,1,15.0,0,1-2 Year,No,52978.0,26.0,124,0
107676,Male,27,1,42.0,1,< 1 Year,No,27265.0,160.0,170,0
207347,Male,51,1,17.0,0,1-2 Year,Yes,29057.0,124.0,246,1
246771,Female,31,1,8.0,1,< 1 Year,No,37781.0,152.0,111,0
337874,Male,49,1,28.0,0,1-2 Year,Yes,26367.0,31.0,239,1
157976,Female,32,1,36.0,0,< 1 Year,Yes,29927.0,152.0,211,0
237104,Male,21,1,28.0,1,< 1 Year,No,39096.0,160.0,85,0
3325,Female,39,1,28.0,1,1-2 Year,No,40830.0,124.0,240,0
65470,Male,69,1,28.0,1,1-2 Year,Yes,27181.0,124.0,164,0
261470,Male,25,1,43.0,0,< 1 Year,Yes,22349.0,152.0,185,0
235218,Female,44,1,39.0,0,1-2 Year,Yes,2630.0,156.0,146,0
287877,Female,63,1,39.0,0,1-2 Year,Yes,30465.0,154.0,175,0
378122,Male,38,1,7.0,0,1-2 Year,No,25005.0,124.0,298,0
94699,Female,40,1,15.0,0,1-2 Year,Yes,2630.0,156.0,20,1
76975,Male,42,1,48.0,1,1-2 Year,No,2630.0,15.0,19,0
1423,Female,27,1,15.0,0,< 1 Year,Yes,32823.0,152.0,32,0
224768,Female,22,1,13.0,0,< 1 Year,No,28320.0,152.0,171,0
360066,Male,23,1,30.0,1,< 1 Year,Yes,34697.0,152.0,55,0
142,Female,47,1,41.0,1,1-2 Year,No,42080.0,124.0,62,0
246008,Female,24,1,37.0,1,< 1 Year,No,34045.0,152.0,92,0
125064,Female,52,1,24.0,0,1-2 Year,Yes,52167.0,124.0,40,1
95868,Female,27,1,21.0,1,< 1 Year,No,28525.0,152.0,173,0
56382,Female,47,1,46.0,1,1-2 Year,No,28887.0,26.0,178,0
107204,Female,25,1,29.0,1,< 1 Year,No,32158.0,152.0,286,0
200353,Male,23,1,29.0,1,< 1 Year,No,34422.0,152.0,26,0
148495,Female,24,1,50.0,0,< 1 Year,Yes,22460.0,152.0,138,0
274586,Male,57,1,28.0,0,1-2 Year,Yes,35499.0,42.0,31,0
82720,Female,22,1,3.0,0,< 1 Year,Yes,20618.0,152.0,53,0
273626,Male,25,1,10.0,1,< 1 Year,No,30048.0,152.0,193,0
228118,Male,49,1,8.0,0,> 2 Years,Yes,63582.0,154.0,48,0
112904,Male,21,1,6.0,0,< 1 Year,Yes,28872.0,152.0,76,0
207791,Female,23,1,10.0,1,< 1 Year,No,34999.0,152.0,39,0
346756,Female,20,1,50.0,1,< 1 Year,No,57167.0,160.0,192,0
207595,Female,66,1,28.0,0,1-2 Year,Yes,35312.0,26.0,193,0
115098,Male,47,1,28.0,0,1-2 Year,Yes,32672.0,124.0,70,0
251511,Male,46,1,0.0,1,1-2 Year,No,2630.0,125.0,80,0
42647,Female,24,1,13.0,1,< 1 Year,No,29273.0,152.0,118,0
335069,Male,60,1,31.0,0,1-2 Year,Yes,2630.0,26.0,173,0
121699,Female,25,1,28.0,0,< 1 Year,No,2630.0,156.0,167,0
223108,Male,34,1,36.0,1,1-2 Year,No,40617.0,152.0,149,0
288207,Male,65,1,50.0,0,1-2 Year,Yes,38428.0,8.0,133,0
71891,Male,27,1,3.0,1,< 1 Year,No,26494.0,152.0,175,0
233424,Male,21,1,21.0,0,< 1 Year,Yes,2630.0,160.0,292,0
371895,Female,25,1,28.0,0,< 1 Year,Yes,35599.0,26.0,172,1
128979,Female,22,1,28.0,1,< 1 Year,No,37167.0,152.0,197,0
237705,Male,26,1,29.0,1,< 1 Year,No,22997.0,154.0,156,0
177144,Female,40,1,43.0,0,1-2 Year,Yes,35293.0,26.0,77,0
92127,Female,24,1,32.0,0,< 1 Year,No,25081.0,151.0,47,0
364968,Female,24,1,36.0,1,< 1 Year,No,31725.0,152.0,140,0
375163,Male,59,1,31.0,1,1-2 Year,No,2630.0,148.0,145,0
230109,Male,23,1,46.0,1,< 1 Year,No,20524.0,153.0,294,0
354907,Male,47,1,13.0,0,1-2 Year,Yes,32399.0,124.0,69,1
242094,Male,52,1,28.0,1,1-2 Year,Yes,2630.0,26.0,234,0
122701,Female,36,1,15.0,0,1-2 Year,Yes,2630.0,14.0,232,0
105188,Male,31,1,23.0,0,< 1 Year,Yes,28330.0,124.0,156,0
42518,Male,64,1,12.0,0,1-2 Year,Yes,36590.0,26.0,150,0
307303,Male,30,1,8.0,0,1-2 Year,No,2630.0,163.0,21,0
101918,Male,37,1,15.0,0,1-2 Year,Yes,36757.0,152.0,267,0
324112,Female,30,1,28.0,0,< 1 Year,Yes,47326.0,122.0,153,0
348670,Male,35,1,8.0,1,1-2 Year,No,41219.0,160.0,86,0
25630,Female,24,1,15.0,0,< 1 Year,Yes,40161.0,152.0,225,0
270098,Female,21,1,3.0,1,< 1 Year,No,31235.0,160.0,235,0
275630,Male,45,1,28.0,0,1-2 Year,Yes,43923.0,26.0,33,0
343238,Male,35,1,30.0,0,1-2 Year,Yes,41757.0,124.0,90,0
223808,Female,57,1,28.0,1,1-2 Year,No,2630.0,26.0,17,0
234584,Male,46,1,28.0,0,1-2 Year,Yes,36626.0,26.0,62,0
94973,Female,44,1,28.0,0,< 1 Year,Yes,2630.0,1.0,292,0
239225,Male,76,1,8.0,0,1-2 Year,Yes,39611.0,26.0,251,0
207729,Female,29,1,28.0,0,< 1 Year,No,30909.0,152.0,62,0
202390,Male,61,1,29.0,0,1-2 Year,Yes,52270.0,124.0,276,0
184627,Female,52,1,28.0,0,1-2 Year,Yes,44365.0,122.0,169,0
172208,Male,25,1,28.0,1,< 1 Year,No,27095.0,152.0,24,0
58599,Female,23,1,3.0,1,< 1 Year,Yes,2630.0,160.0,53,0
371678,Male,22,1,25.0,1,< 1 Year,No,26768.0,152.0,109,0
94026,Male,44,1,28.0,0,1-2 Year,Yes,2630.0,26.0,127,0
237671,Male,36,1,13.0,1,1-2 Year,No,34958.0,29.0,171,0
218329,Male,40,1,15.0,0,1-2 Year,Yes,31168.0,155.0,291,1
180701,Male,48,1,8.0,0,1-2 Year,Yes,43854.0,26.0,298,0
205385,Male,47,1,24.0,0,1-2 Year,Yes,27151.0,124.0,117,0
363136,Female,28,1,11.0,1,< 1 Year,No,13383.0,152.0,75,0
201305,Male,37,1,11.0,0,1-2 Year,Yes,25809.0,124.0,201,0
176278,Female,40,1,48.0,0,1-2 Year,Yes,2630.0,26.0,189,0
380916,Female,21,1,43.0,1,< 1 Year,No,49513.0,160.0,54,0
309471,Male,62,1,28.0,0,1-2 Year,Yes,49871.0,124.0,98,1
354800,Female,24,1,9.0,1,< 1 Year,No,30119.0,152.0,216,0
289124,Male,58,1,37.0,0,1-2 Year,Yes,33796.0,124.0,91,1
140207,Male,78,1,8.0,0,1-2 Year,Yes,36012.0,26.0,185,0
365394,Male,24,1,39.0,0,< 1 Year,Yes,41941.0,151.0,252,0
22599,Male,22,1,3.0,1,< 1 Year,No,25655.0,160.0,130,0
100675,Female,38,1,28.0,0,1-2 Year,Yes,40751.0,163.0,187,0
43148,Female,32,1,50.0,1,< 1 Year,No,2630.0,152.0,74,0
226967,Male,24,1,29.0,0,< 1 Year,Yes,48010.0,151.0,166,0
2036,Male,46,1,47.0,0,1-2 Year,Yes,33137.0,26.0,149,1
324427,Female,24,1,29.0,1,< 1 Year,No,34389.0,152.0,82,0
340771,Female,79,1,29.0,0,1-2 Year,Yes,53652.0,26.0,273,0
169200,Female,53,1,28.0,0,1-2 Year,Yes,51472.0,26.0,26,0
50952,Male,70,1,8.0,0,1-2 Year,Yes,41347.0,124.0,295,0
131941,Female,26,1,47.0,1,< 1 Year,No,40721.0,152.0,18,0
93404,Male,25,1,13.0,0,< 1 Year,Yes,2630.0,160.0,251,1
227922,Female,23,1,6.0,1,< 1 Year,No,33344.0,152.0,229,0
246931,Male,24,1,8.0,1,< 1 Year,Yes,39598.0,152.0,188,0
99676,Female,23,1,11.0,1,< 1 Year,No,27493.0,152.0,112,0
84329,Female,24,1,28.0,1,< 1 Year,No,42639.0,152.0,226,0
70802,Male,49,1,47.0,1,1-2 Year,No,33054.0,26.0,259,0
43235,Male,35,1,48.0,0,1-2 Year,Yes,2630.0,26.0,175,0
83225,Male,36,1,0.0,0,1-2 Year,Yes,2630.0,124.0,133,0
143284,Female,43,1,28.0,0,1-2 Year,Yes,32622.0,122.0,160,0
126313,Male,36,1,28.0,1,1-2 Year,No,33675.0,124.0,229,0
241474,Male,38,1,28.0,0,1-2 Year,Yes,42487.0,163.0,108,0
66898,Male,61,1,48.0,0,1-2 Year,Yes,2630.0,26.0,185,0
126221,Male,45,1,28.0,0,1-2 Year,Yes,51872.0,26.0,31,1
243393,Female,26,1,15.0,0,< 1 Year,Yes,32182.0,152.0,126,0
183897,Female,30,1,50.0,0,1-2 Year,Yes,2630.0,156.0,265,0
